series id,id,title,notes
GDPNOW,GDPNOW,GDPNow,"GDPNow is a nowcasting model for gross domestic product (GDP) growth that synthesizes the bridge equation approach relating GDP subcomponents to monthly source data with factor model and Bayesian vector autoregression approaches. The GDPNow model forecasts GDP growth by aggregating 13 subcomponents that make up GDP with the chain-weighting methodology used by the US Bureau of Economic Analysis.  The Federal Reserve Bank of Atlanta's GDPNow release complements the quarterly GDP release from the Bureau of Economic Analysis (BEA). The Atlanta Fed recalculates and updates their GDPNow forecasts (called ""nowcasts"") throughout the quarter as new data are released, up until the BEA releases its ""advance estimate"" of GDP for that quarter. The St. Louis Fed constructs a quarterly time series for this dataset, in which both historical and current observations values are combined. In general, the most-current observation is revised multiple times throughout the quarter. The final forecasted value (before the BEA's release of the advance estimate of GDP) is the static, historical value for that quarter.  For futher information visit the Federal Reserve Bank of Atlanta (https://www.frbatlanta.org/cqer/research/gdpnow.aspx?panel=1)."
RIFSPFFNBWAW,RIFSPFFNBWAW,Federal Funds Effective Rate,"Averages of daily figures.   For additional historical federal funds rate data, please see  Daily Federal Funds Rate from 1928-1954 (https://fred.stlouisfed.org/categories/33951).  The federal funds rate is the interest rate at which depository institutions trade federal funds (balances held at Federal Reserve Banks) with each other overnight. When a depository institution has surplus balances in its reserve account, it lends to other banks in need of larger balances. In simpler terms, a bank with excess cash, which is often referred to as liquidity, will lend to another bank that needs to quickly raise liquidity. (1) The rate that the borrowing institution pays to the lending institution is determined between the two banks; the weighted average rate for all of these types of negotiations is called the effective federal funds rate.(2) The effective federal funds rate is essentially determined by the market but is influenced by the Federal Reserve through open market operations to reach the federal funds rate target.(2) The Federal Open Market Committee (FOMC) meets eight times a year to determine the federal funds target rate. As previously stated, this rate influences the effective federal funds rate through open market operations or by buying and selling of government bonds (government debt).(2) More specifically, the Federal Reserve decreases liquidity by selling government bonds, thereby raising the federal funds rate because banks have less liquidity to trade with other banks. Similarly, the Federal Reserve can increase liquidity by buying government bonds, decreasing the federal funds rate because banks have excess liquidity for trade. Whether the Federal Reserve wants to buy or sell bonds depends on the state of the economy. If the FOMC believes the economy is growing too fast and inflation pressures are inconsistent with the dual mandate of the Federal Reserve, the Committee may set a higher federal funds rate target to temper economic activity. In the opposing scenario, the FOMC may set a lower federal funds rate target to spur greater economic activity. Therefore, the FOMC must observe the current state of the economy to determine the best course of monetary policy that will maximize economic growth while adhering to the dual mandate set forth by Congress. In making its monetary policy decisions, the FOMC considers a wealth of economic data, such as: trends in prices and wages, employment, consumer spending and income, business investments, and foreign exchange markets. The federal funds rate is the central interest rate in the U.S. financial market. It influences other interest rates such as the prime rate, which is the rate banks charge their customers with higher credit ratings. Additionally, the federal funds rate indirectly influences longer- term interest rates such as mortgages, loans, and savings, all of which are very important to consumer wealth and confidence.(2) References (1) Federal Reserve Bank of New York. ""Federal funds."" Fedpoints, August 2007. (2) Board of Governors of the Federal Reserve System. ""Monetary Policy (https://www.federalreserve.gov/monetarypolicy.htm)""."
CILACBQ158SBOG,CILACBQ158SBOG,"Commercial and Industrial Loans, All Commercial Banks","These series are break adjusted. The percent changes are at a simple annual rate and have been adjusted to remove (i) the effects of nonbank structure activity of $5 billion or more and (ii) the estimated effects of the initial consolidation of certain variable interest entities (FIN 46) and off-balance-sheet vehicles (FAS 166/167). Information about these adjustments is documented in the H.8 Notes in the Data section (http://www.federalreserve.gov/releases/h8/h8notes.htm) of the H.8 Assets and Liabilities of Commercial Banks in the United States release from the Board of Governors. To make the current and past levels comparable, a ratio procedure is used to adjust past levels. For example, if on December 31, 2008, real estate loans at large banks increased by 1 percent because a large bank acquired a nonbank during that week, the levels for real estate loans at large banks for all weeks prior to December 31, 2008, would be increased by 1 percent and then the percent changes would be calculated using those adjusted levels. These quarterly percent changes are calculated from quarterly levels, rounded to the nearest $100 million, based on the average of the three monthly levels in each quarter.  For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
LLBACBQ158SBOG,LLBACBQ158SBOG,"Loans and Leases in Bank Credit, All Commercial Banks","These series are break adjusted. The percent changes are at a simple annual rate and have been adjusted to remove (i) the effects of nonbank structure activity of $5 billion or more and (ii) the estimated effects of the initial consolidation of certain variable interest entities (FIN 46) and off-balance-sheet vehicles (FAS 166/167). Information about these adjustments is documented in the H.8 Notes in the Data section (http://www.federalreserve.gov/releases/h8/h8notes.htm) of the H.8 Assets and Liabilities of Commercial Banks in the United States release from the Board of Governors. To make the current and past levels comparable, a ratio procedure is used to adjust past levels. For example, if on December 31, 2008, real estate loans at large banks increased by 1 percent because a large bank acquired a nonbank during that week, the levels for real estate loans at large banks for all weeks prior to December 31, 2008, would be increased by 1 percent and then the percent changes would be calculated using those adjusted levels. These quarterly percent changes are calculated from quarterly levels, rounded to the nearest $100 million, based on the average of the three monthly levels in each quarter.  For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
UNRATE,UNRATE,Unemployment Rate,"The unemployment rate represents the number of unemployed as a percentage of the labor force. Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.  This rate is also defined as the U-3 measure of labor underutilization.  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000000"
BC0ACBQ158SBOG,BC0ACBQ158SBOG,"Bank Credit, All Commercial Banks","These series are break adjusted. The percent changes are at a simple annual rate and have been adjusted to remove (i) the effects of nonbank structure activity of $5 billion or more and (ii) the estimated effects of the initial consolidation of certain variable interest entities (FIN 46) and off-balance-sheet vehicles (FAS 166/167). Information about these adjustments is documented in the H.8 Notes in the Data section (http://www.federalreserve.gov/releases/h8/h8notes.htm) of the H.8 Assets and Liabilities of Commercial Banks in the United States release from the Board of Governors. To make the current and past levels comparable, a ratio procedure is used to adjust past levels. For example, if on December 31, 2008, real estate loans at large banks increased by 1 percent because a large bank acquired a nonbank during that week, the levels for real estate loans at large banks for all weeks prior to December 31, 2008, would be increased by 1 percent and then the percent changes would be calculated using those adjusted levels. These quarterly percent changes are calculated from quarterly levels, rounded to the nearest $100 million, based on the average of the three monthly levels in each quarter.  For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
PRS85006092,PRS85006092,Nonfarm Business Sector: Labor Productivity (Output per Hour) for All Workers,"Labor productivity, or output per hour, is calculated by dividing an index of real output by an index of hours worked of all persons, including employees, proprietors, and unpaid family workers.  For more information, please go to https://www.bls.gov/news.release/pdf/prod2.pdf  Source Indicator PRS85006092"
T10Y2Y,T10Y2Y,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,"Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield). Series is calculated as the spread between 10-Year Treasury Constant Maturity (BC_10YEAR) and 2-Year Treasury Constant Maturity (BC_2YEAR). Both underlying series are published at the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
UNRATENSA,UNRATENSA,Unemployment Rate,"The unemployment rate represents the number of unemployed as a percentage of the labor force. Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.  This rate is also defined as the U-3 measure of labor underutilization.  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000000"
T10Y2YM,T10Y2YM,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,"Series is calculated as the spread between 10-Year Treasury Constant Maturity (BC_10YEARM) and 2-Year Treasury Constant Maturity (BC_2YEARM). Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
DGS10,DGS10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis","For further information regarding treasury constant maturity data, please refer to the H.15 Statistical Release (https://www.federalreserve.gov/releases/h15/current/h15.pdf) notes and Treasury Yield Curve Methodology (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/yieldmethod.aspx)."
T10YIE,T10YIE,10-Year Breakeven Inflation Rate,"The breakeven inflation rate represents a measure of expected inflation derived from 10-Year Treasury Constant Maturity Securities (BC_10YEAR) and 10-Year Treasury Inflation-Indexed Constant Maturity Securities (TC_10YEAR). The latest value implies what market participants expect inflation to be in the next 10 years, on average. Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
GS10,GS10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis","Averages of business days. For further information regarding treasury constant maturity data, please refer to the H.15 Statistical Release notes (https://www.federalreserve.gov/releases/h15/default.htm) and the Treasury Yield Curve Methodology (https://home.treasury.gov/policy-issues/financing-the-government/interest-rate-statistics/treasury-yield-curve-methodology)."
T10Y3M,T10Y3M,10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity,"Series is calculated as the spread between 10-Year Treasury Constant Maturity (BC_10YEAR) and 3-Month Treasury Constant Maturity (BC_3MONTH). Starting with the update on June 21, 2019, the Treasury bond data used in calculating interest rate spreads is obtained directly from the U.S. Treasury Department (https://www.treasury.gov/resource-center/data-chart-center/interest-rates/Pages/TextView.aspx?data=yield)."
BAMLH0A0HYM2,BAMLH0A0HYM2,ICE BofA US High Yield Index Option-Adjusted Spread,"The ICE BofA Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. The ICE BofA High Yield Master II OAS uses an index of bonds that are below investment grade (those rated BB or below). This data represents the ICE BofA US High Yield Index value, which tracks the performance of US dollar denominated below investment grade rated corporate debt publicly issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index.  ICE BofA Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.  Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
WGS10YR,WGS10YR,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis","Averages of business days. For further information regarding treasury constant maturity data, please refer to the H.15 Statistical Release notes (https://www.federalreserve.gov/releases/h15/default.htm) and the Treasury Yield Curve Methodology (https://home.treasury.gov/policy-issues/financing-the-government/interest-rate-statistics/treasury-yield-curve-methodology)."
CREACBQ158SBOG,CREACBQ158SBOG,"Real Estate Loans: Commercial Real Estate Loans, All Commercial Banks","These series are break adjusted. The percent changes are at a simple annual rate and have been adjusted to remove (i) the effects of nonbank structure activity of $5 billion or more and (ii) the estimated effects of the initial consolidation of certain variable interest entities (FIN 46) and off-balance-sheet vehicles (FAS 166/167). Information about these adjustments is documented in the H.8 Notes in the Data section (http://www.federalreserve.gov/releases/h8/h8notes.htm) of the H.8 Assets and Liabilities of Commercial Banks in the United States release from the Board of Governors. To make the current and past levels comparable, a ratio procedure is used to adjust past levels. For example, if on December 31, 2008, real estate loans at large banks increased by 1 percent because a large bank acquired a nonbank during that week, the levels for real estate loans at large banks for all weeks prior to December 31, 2008, would be increased by 1 percent and then the percent changes would be calculated using those adjusted levels. These quarterly percent changes are calculated from quarterly levels, rounded to the nearest $100 million, based on the average of the three monthly levels in each quarter.  For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
